k,time_s,safety_mode,ctrl_mode,fw,vdc,rs,wm,omega_ref,id_ref,iq_ref,id_fw,theta_ref,theta_mech,epos_live,epos_pi,espd,i_alpha,i_beta,tl_hat,mpcJ,enc,iq_inj,frf_freq_hz
95,0.00475000,0,1,0,47.368542,0.448753,0.000000,0.000000,0.000000,0.020169,0.000000,0.000000,-0.001534,0.001534,0.000000,0.000000,0.033677,-0.153188,-0.319833,0.005578,-1,0.000000,0.000000
96,0.00480000,0,1,0,47.304573,0.448743,0.000000,0.000000,0.000000,0.020169,0.000000,0.000000,-0.001534,0.001534,0.000000,0.000000,-0.005892,-0.208007,-0.307586,0.009660,-1,0.000000,0.000000
97,0.00485000,0,1,0,47.241764,0.448725,0.000000,0.000000,0.000000,0.020169,0.000000,0.000000,-0.001534,0.001534,0.000000,0.000000,-0.009715,-0.264422,-0.296968,0.015025,-1,0.000000,0.000000
98,0.00490000,0,1,0,47.180202,0.447333,0.000000,0.000000,0.000000,0.020169,0.000000,0.000000,-0.001534,0.001534,0.000000,0.000000,-0.017118,-0.321687,-0.287912,0.013012,-1,0.000000,0.000000
99,0.00495000,0,1,0,47.119968,0.446740,-30.679617,0.000000,0.000000,0.020169,0.000000,0.000000,-0.003068,0.003068,0.000000,0.000000,-0.186771,-0.141333,21.199934,0.010896,-2,0.000000,0.000000
100,0.00500000,0,1,0,47.061134,0.445003,0.000000,0.000000,0.000000,0.080169,0.000000,0.000000,-0.003068,0.003068,0.000000,3.330138,-0.273907,-0.142519,-1.338424,0.010593,-2,0.000000,0.000000
101,0.00505000,0,1,0,47.003796,0.445161,0.000000,0.000000,0.000000,0.140169,0.000000,0.000000,-0.003068,0.003068,0.000000,0.000000,-0.152742,0.098408,-1.269764,0.002282,-2,0.000000,0.000000
102,0.00510000,0,1,0,46.948017,0.445126,0.000000,0.000000,0.000000,0.200169,0.000000,0.000000,-0.003068,0.003068,0.000000,0.000000,-0.160088,0.208495,-1.202555,0.003753,-2,0.000000,0.000000
103,0.00514999,0,1,0,46.893879,0.444887,0.000000,0.000000,0.000000,0.200702,0.000000,0.000000,-0.003068,0.003068,0.000000,0.000000,-0.163629,0.321614,-1.136670,0.007603,-2,0.000000,0.000000
104,0.00519999,0,1,0,46.841454,0.444863,0.000000,0.000000,0.000000,0.200702,0.000000,0.000000,-0.003068,0.003068,0.000000,0.000000,-0.206990,0.373908,-1.073146,0.013382,-2,0.000000,0.000000
105,0.00524999,0,1,0,46.790813,0.444379,0.000000,0.000000,0.000000,0.200702,0.000000,0.000000,-0.003068,0.003068,0.000000,0.000000,-0.245649,0.431233,-1.011771,0.015229,-2,0.000000,0.000000
106,0.00529999,0,1,0,46.742020,0.443525,0.000000,0.000000,0.000000,0.200702,0.000000,0.000000,-0.003068,0.003068,0.000000,0.000000,-0.004985,0.490415,-0.952356,0.009353,-2,0.000000,0.000000
107,0.00534999,0,1,0,46.695148,0.444182,0.000000,0.000000,0.000000,0.200702,0.000000,0.000000,-0.003068,0.003068,0.000000,0.000000,0.130068,0.343859,-0.898525,0.006029,-2,0.000000,0.000000
108,0.00539999,0,1,0,46.650246,0.444108,0.000000,0.000000,0.000000,0.200702,0.000000,0.000000,-0.003068,0.003068,0.000000,0.000000,0.199920,0.370617,-0.846890,0.011966,-2,0.000000,0.000000
109,0.00544999,0,1,0,46.607388,0.442955,0.000000,0.000000,0.000000,0.200702,0.000000,0.000000,-0.003068,0.003068,0.000000,0.000000,0.267105,0.402208,-0.797257,0.010285,-2,0.000000,0.000000
110,0.00549999,0,1,0,46.566624,0.444061,0.000000,0.000000,0.000000,0.140702,0.000000,0.000000,-0.003068,0.003068,0.000000,0.927447,0.140354,0.221293,-0.753383,0.001219,-2,0.000000,0.000000
111,0.00554999,0,1,0,46.528008,0.443709,0.000000,0.000000,0.000000,0.080702,0.000000,0.000000,-0.003068,0.003068,0.000000,0.000000,0.115935,0.189345,-0.712282,0.000392,-2,0.000000,0.000000
112,0.00559999,0,1,0,46.491589,0.443903,0.000000,0.000000,0.000000,0.058539,0.000000,0.000000,-0.003068,0.003068,0.000000,0.000000,0.081566,0.141034,-0.674113,0.000159,-2,0.000000,0.000000
113,0.00564999,0,1,0,46.457413,0.443859,0.000000,0.000000,0.000000,0.058539,0.000000,0.000000,-0.003068,0.003068,0.000000,0.000000,0.069192,0.125084,-0.638141,0.000131,-2,0.000000,0.000000
114,0.00569999,0,1,0,46.425533,0.443640,0.000000,0.000000,0.000000,0.058539,0.000000,0.000000,-0.003068,0.003068,0.000000,0.000000,0.065902,0.122595,-0.604014,0.000115,-2,0.000000,0.000000
115,0.00574999,0,1,0,46.395981,0.443469,0.000000,0.000000,0.000000,0.058539,0.000000,0.000000,-0.003068,0.003068,0.000000,0.000000,0.062284,0.120137,-0.571638,0.000098,-2,0.000000,0.000000
116,0.00579999,0,1,0,46.368797,0.443344,0.000000,0.000000,0.000000,0.058539,0.000000,0.000000,-0.003068,0.003068,0.000000,0.000000,0.058219,0.117956,-0.540921,0.000079,-2,0.000000,0.000000
117,0.00584999,0,1,0,46.344021,0.443279,0.000000,0.000000,0.000000,0.058539,0.000000,0.000000,-0.003068,0.003068,0.000000,0.000000,0.053392,0.115828,-0.511779,0.000057,-2,0.000000,0.000000
118,0.00589999,0,1,0,46.321674,0.443071,0.000000,0.000000,0.000000,0.058539,0.000000,0.000000,-0.003068,0.003068,0.000000,0.000000,0.047924,0.114046,-0.484127,0.000035,-2,0.000000,0.000000
119,0.00594999,0,1,0,46.301792,0.443355,0.000000,0.000000,0.000000,0.058539,0.000000,0.000000,-0.003068,0.003068,0.000000,0.000000,0.003114,0.112963,-0.457887,0.000112,-2,0.000000,0.000000
120,0.00599999,0,1,0,46.284389,0.442990,0.000000,0.000000,0.000000,0.018946,0.000000,0.000000,-0.003068,0.003068,0.000000,0.258295,-0.029296,0.128617,-0.432683,0.001190,-2,0.000000,0.000000
121,0.00604999,0,1,0,46.269501,0.443413,0.000000,0.000000,0.000000,0.018946,0.000000,0.000000,-0.003068,0.003068,0.000000,0.000000,-0.081500,0.114968,-0.408997,0.002602,-2,0.000000,0.000000
122,0.00609999,0,1,0,46.257130,0.444496,-30.679617,0.000000,0.000000,0.018946,0.000000,0.000000,-0.004602,0.004602,0.000000,0.000000,-0.151332,0.132918,21.089836,0.006540,-3,0.000000,0.000000
